Alphanum.,Order,Density,Number Glycan,x_label
AzOH,100,0,0,
AzOH2,101,0,0,
Ty-176,1,36,1000,Gal-[1000]
###X04M2,2,4,100,Gal-[100]
PZ-5080,3,36,1000,"Lac, L-[1000]"
D9,4,24,600,"Lac, L-[600]"
D8,5,36,1000,Lec-[1000]
D21,6,31,800,D21-[800]
Tr59,7,24,600,Galili-tri-[600]
Tr62,8,45,1200,P1 tri-[1200]
Tr54,9,36,1000,LNT-2-[1000]
Tr55,10,43,1200,GNLN-[1200]
Tr260,11,15,400,Gala3-type1-[500]
Te98,12,10,300,Di-LN-[200]
Te72,13,13,400,LNnT-[400]
Te271,14,34,900,LNT-[900]
Te327,15,7,200,P1 penta-[200]
Te302,16,32,900,P1 penta-[900]
Te99,17,6,200,3'GN-Di-LN-[100]
Te100,18,27,700,Tri-LN-[700]
Di-N3,19,6,200,Di-N3-[<99]
Tr120,20,6,200,2'FL-[200]
Tr117,21,9,200,H-type2-[200]
Tr116,22,25,700,H-type1-[700]
Te134,23,11,300,H2-[300]
Tri-AN3,24,32,900,Tri-AN3-[800]
Tr57,25,0,<30,LeA-[<99]
Tri-BN3,26,31,800,Tri-BN3-[800]
Te224,27,33,900,A tetra L-[900]
Te221,28,24,600,Gala3Lex-[600]
Te223,29,37,1000,B tetra type 2-[1000]
Te258,30,13,400,B tetra type 1-[300]
Te222,31,40,1100,A tetra type 2-[1100]
Te259,32,14,400,A tetra type 1-[300]
Te286,33,18,500,Lec-LeX-[500]
Te101,34,18,500,Di-Lex-[500]
Te319,35,7,200,Lex-LeA-[200]
Te135,36,14,400,H3-[400]
Te212,37,29,800,Ley -Lex-[800]
Te267,37.5,,320,Ley-Di-Lex-[320]
Te102,38,18,500,Tri-Lex-[500]
Tr32,39,20,500,GM3-[500]
Tr39,40,9,200,3'SL (Gc)-[200]
3'SLN,41,13,400,3'SLN-[400]
Tr33,42,21,600,3'SLN-[600]
Tr40,43,7,200,3'SLN (Gc)-[200]
Tr36,44,17,500,6'SLN-[500]
NTr36,45,18,501,6'SLN-[501]
6'SLN,46,10,300,6'SLN-[200]
Tr43,47,0,<30,6'SLN (Gc)-[<99]
Tr269,48,19,500,6'SLDN-[500]
Tr41,49,6,200,3'SLec (Gc)-[100]
Tr47,50,7,200,3'KDNLN-[200]
Tr48,51,8,200,3'-KDNLec-[200]
Tr322,52,30,800,9OAc3'SLN-[800]
Te201,53,18,500,CT/Sda-[500]
Te303,53.5,,570,GD1a-[570]
Te321,54,10,300,3'S-Di-Lec-[200]
Te288,55,43,1200,3'SLecLN-[1200]
Te176,56,14,400,6'S-Di-LN-[400]
Te75,57,6,200,GM1-[100]
Te291,58,21,600,SSEA-4-[600]
Te79,60,0,<30,GD3-[<99]
Te305,61,17,500,Te305-[500]
Te306,62,15,400,GQ2-[400]
Te119,63,18,500,GT2-[500]
Te140,64,23,600,3'S-Di-Lex-[600]
Te193,65,0,<30,Te193-[<99]
Te78,66,5,100,GD2-[100]
Te97,67,14,400,GT3-[400]
a-Man1,68,32,900,Mana-[900]
PZ-8015,69,17,500,Tri-Man-[500]
Galf2,70,17,500,Di-Galf-[500]
Galf3,71,14,400,Tri-Galf-[400]
Galf4-low1,72,1,<30,Tetra-Galf-[<99]
Galf4-mid1,73,8,200,Tetra-Galf-[200]
X01L1,1,0,<30,Manb-[<30]
X01L2,2,0,<31,Manb-[<31]
X01M2,3,0,<32,Manb-[<32]
X01M1,4,3,80,Manb-[80]
X01N2,5,7,200,Manb-[200]
X01N1,6,13,400,Manb-[400]
X02L1,7,6,201,Mana-[201]
X02L2,8,6,202,Mana-[202]
X02M1,9,17,500,Mana-[500]
X02NG,10,25,700,Mana-[700]
X02M2,11,20,500,Mana-[501]
X02N2,12,67,1800,Mana-[1800]
X02N1,13,69,1900,Mana-[1900]
X03L2,14,5,150,Tri-Man-[150]
X03L1,15,5,151,Tri-Man-[151]
X03M1,16,11,300,Tri-Man-[300]
X03M2,17,11,301,Tri-Man-[301]
X03MC,18,41,1100,Tri-Man-[1100]
X03N2,19,43,1200,Tri-Man-[1200]
X03N1,20,52,1400,Tri-Man-[1400]
X04L2,21,0,<30,Gal-[<30]
X04L1,22,0,<31,Gal-[<31]
X04M2,23,4,110,Gal-[110]
X04M1,24,4,111,Gal-[111]
X04N1,25,14,400,Gal-[400]
X04N2,26,19,500,Gal-[500]
X05L2,27,3,80,"Lac, L-[80]"
X05L1,28,5,150,"Lac, L-[150]"
X05M2,29,12,300,"Lac, L-[300]"
X05M1,30,18,500,"Lac, L-[500]"
X05N2,31,31,800,"Lac, L-[800]"
X05N1,32,44,1200,"Lac, L-[1200]"
X06L2,33,0,<30,LNnt-[<30]
X06L1,34,0,<31,LNnt-[<31]
X06M1,35,17,500,LNnt-[500]
X06M2,36,20,501,LNnt-[501]
X06NG,37,27,700,LNnt-[700]
X06N2,38,38,1000,LNnt-[1000]
X06N1,39,55,1500,LNnt-[1500]
X07L1,42.5,3,80,Galf-[80]
X07L2,41,4,110,Galf-[110]
X07M1,42,5,150,Galf-[150]
X07M2,43,6,200,Galf-[200]
X07N2,44,31,800,Galf-[800]
X07N1,45,48,1300,Galf-[1300]
X08L1,46,0,<30,Tri-Galf-[<30]
X08L2,49,0,<31,Tri-Galf-[<31]
X08M2,48,3,80,Tri-Galf-[80]
X08M1,49,3,81,Tri-Galf-[81]
X08N1,50,10,300,Tri-Galf-[300]
X08N2,51,29,800,Tri-Galf-[800]
X09L2,55,0,<30,Tetra-Galf-[<30]
X09N2,58,0,<31,Tetra-Galf-[<31]
X09L1,56.5,0,<32,Tetra-Galf-[<32]
X09M2,55,2,50,Tetra-Galf-[50]
X09M1,56,2,51,Tetra-Galf-[51]
X09N1,57,25,700,Tetra-Galf-[700]
TL-IV-71,1,,,
TL-IV-61,2,,,
TL-IV-111,3,,,
TL-IV-45,4,,,
TL-IV-47,5,,,
TL-IV-121,2.5,,,
TL-IV-93,7.5,,,
TL-IV-115,7,,,
TL-IV-75,9,,,
TL-IV-67,10,,,
TL-III-155-1,11,,,
TL-IV-69,12,,,
TL-IV-89,13,,,
TL-IV-87,14,,,
TL-IV-81,15,,,
TL-IV-85,16,,,
TL-IV-83,17,,,
TL-III-189-2,17.5,,,
TL-IV-135,19,,,
TL-IV-136,20,,,
TL-IV-137,20.3,,,
TL-IV-117,21,,,
TL-IV-138,23,,,
TL-III-107,23.5,,,
TL-IV-139,25,,,
TL-III-115,24,,,
TL-IV-140,27,,,
TL-IV-141,28,,,
TL-IV-142,29,,,
TL-IV-143,30,,,
TL-III-113,31,,,
TL-IV-144,38,,,
TL-IV-150,33,,,
TL-IV-151,34,,,
TL-IV-152,35,,,
TL-IV-153,36,,,
TL-III-143,36.5,,,
TL-IV-154,32,,,
TL-V-19,19.1,,,
